codigo_poligono,lote_empresa,entregable_cod_ign_fi,unidades_catastrales,sector,version,n_cic,cic_difusion,fotografias_difusion,cic_inicio,fotografias_inicio,cic_cierre,fotografias_cierre,distrito_oficial,lote_oficial,empresa_oficial,fuente_oficial,fuente_complementaria,complementado_desde_supervision,hoja,fila_excel
251110143,Lote 4 - EXP,E01 / SM_01,"2,920",11,V1,CIC-1,03/01/2026,,08/01/2026,,17/01/2026,,San Miguel,4,EXP,CIC_IGNFI_V2 (5).xlsx,,,L345-CIC,2
251110144,Lote 5 - Telespazio,E05 / CH_01,"2,959",19,V1,CIC-2,03/01/2026,,03/01/2026,,17/01/2026,,Chorrillos,5,TELESPAZIO,CIC_IGNFI_V2 (5).xlsx,,,L345-CIC,3
251210003,Lote 3A - EXP,E02 / IN_01,"3,061","08, 09",V1,CIC-3,03/01/2026,,03/01/2026,,17/01/2026,,Independencia,3A,EXP,CIC_IGNFI_V2 (5).xlsx,,,L345-CIC,4
251210004,Lote 5 - Telespazio,E03 / CH_02,"2,934",19,V2,CIC-10,14/03/2026,,19/03/2026,,28/03/2026,,Chorrillos,5,TELESPAZIO,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,12
251210005,Lote 4 - EXP,E03 / SM_02,"3,067",11,V2,CIC-11,14/03/2026,,19/03/2026,,28/03/2026,,San Miguel,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,15
251210006,Lote 4 - EXP,E05 / EA_02,"2,777",05,V2,CIC-4,19/02/2026,,24/02/2026,,05/03/2026,,El Agustino,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,6
260110001,Lote 3B - EXP,E03 / CO_01,"3,081",68,V1,CIC-5,25/02/2026,,02/03/2026,,11/03/2026,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,7
260110002,Lote 3A - EXP,E03 / IN_02,"3,054","09, 18, 19",V1,CIC-6,25/02/2026,,02/03/2026,,11/03/2026,,Independencia,3A,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,8
260110003,Lote 4 - EXP,E04 / SM_03,"3,008","11, 12",V2,CIC-22,16/04/2026,,21/04/2026,,30/04/2026,,San Miguel,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,29
260110004,Lote 4 - EXP,E04 / EA_01,"2,641",01,V1,CIC-4,19/02/2026,,24/02/2026,,05/03/2026,,El Agustino,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,5
260110005,Lote 6 - ICL,E01 / CL_01,"3,130",20,V2,CIC-2,27/03/2026,,01/04/2026,,10/04/2026,,Cercado de Lima,6,ICL-UE003,CIC_IGNFI_V2 (5).xlsx,,,L6-CIC,9
260110007,Lote 5 - Telespazio,E04 / SJ_01,"2,698",33,V1,CIC-7,27/02/2026,,03/03/2026,,12/03/2026,,San Juan de Miraflores,5,TELESPAZIO,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,9
260110008,Lote 6 - ICL,E01 / CL_02,"3,080",20,V1,CIC-1,11/03/2026,,16/03/2026,,25/03/2026,,Cercado de Lima,6,ICL-UE003,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L6-CIC,2
260110009,Lote 6 - ICL,E01 / CL_03,"3,158",20,V1,CIC-1,11/03/2026,,16/03/2026,,25/03/2026,,Cercado de Lima,6,ICL-UE003,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L6-CIC,3
260110010,Lote 5 - Telespazio,E04 / VS_01,"2,714","07, 02",V1,CIC-9,07/03/2026,,12/03/2026,,21/03/2026,,Villa El Salvador,5,TELESPAZIO,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,11
260210012,Lote 3A - EXP,E04 / IN_03,"2,959","19, 22",V1,CIC-12,25/03/2026,,30/03/2026,,08/04/2026,,Independencia,3A,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,16
260210013,Lote 3B - EXP,E04 / CO_02,"2,969","64, 69",V1,CIC-13,25/03/2026,,30/03/2026,,08/04/2026,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,17
260210014,Lote 5 - Telespazio,E04 / CH_03,"3,008",19,V1,CIC-16,27/03/2026,,02/04/2026,,11/04/2026,,Chorrillos,5,TELESPAZIO,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,21
260210015,Lote 3B - EXP,E04 / CO_03,"3,019","58, 64",V1,CIC-13,25/03/2026,,30/03/2026,,08/04/2026,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,18
260210019,Lote 3A - EXP,E04 / IN_04,"2,941","19, 25, 27, 30",V1,CIC-8,05/03/2026,,10/03/2026,,19/03/2026,,Independencia,3A,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,10
260210020,Lote 4 - EXP,E05 / SM_04,"3,059",12,V1,CIC-11,14/03/2026,,19/03/2026,,28/03/2026,,San Miguel,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,13
260210021,Lote 4 - EXP,E06 / EA_03,"2,869",05,V1,CIC-21,11/04/2026,,16/04/2026,,25/04/2026,,El Agustino,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,28
260210022,Lote 4 - EXP,E05 / SM_05,"2,548","12, 13",V1,CIC-11,14/03/2026,,19/03/2026,,28/03/2026,,San Miguel,4,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,14
260210023,Lote 6 - ICL,E02 / CL_04,"2,896",20,V1,CIC-2,27/03/2026,,01/04/2026,,10/04/2026,,Cercado de Lima,6,ICL-UE003,CIC_IGNFI_V2 (5).xlsx,,,L6-CIC,4
260210024,Lote 6 - ICL,E02 / CL_05,"2,822",20,V1,CIC-2,27/03/2026,,01/04/2026,,10/04/2026,,Cercado de Lima,6,ICL-UE003,CIC_IGNFI_V2 (5).xlsx,,,L6-CIC,5
260210025,Lote 6 - ICL,E02 / CL_06,"2,945",15,V1,CIC-2,27/03/2026,,01/04/2026,,10/04/2026,,Cercado de Lima,6,ICL-UE003,CIC_IGNFI_V2 (5).xlsx,,,L6-CIC,6
260310027,Lote 6 - ICL,E02 / CL_07,"2,966",15,V1,CIC-2,27/03/2026,,01/04/2026,,10/04/2026,,Cercado de Lima,6,ICL-UE003,CIC_IGNFI_V2 (5).xlsx,,,L6-CIC,7
260310028,Lote 6 - ICL,E02 / CL_08,"2,917","15, 20",V1,CIC-2,27/03/2026,,01/04/2026,,10/04/2026,,Cercado de Lima,6,ICL-UE003,CIC_IGNFI_V2 (5).xlsx,,,L6-CIC,8
260310030,Lote 3C - Insys,E03 / SP_02,"2,972","58, 59",V2,CIC-36,03/06/2026,,08/06/2026,,17/06/2026,,San Martin de Porres,3C,INSYS,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,45
260310031,Lote 5 - Telespazio,E05 / CH_04,"2,884",19,V1,CIC-15,26/03/2026,,31/03/2026,,09/04/2026,,Chorrillos,5,TELESPAZIO,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,20
260310032,Lote 3C - Insys,E03 / SP_03,"2,982","57, 58",V2,CIC-36,03/06/2026,,08/06/2026,,17/06/2026,,San Martin de Porres,3C,INSYS,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,46
260310033,Lote 3C - Insys,E03 / SP_04,"2,780","56, 57",V1,CIC-14,25/03/2026,,30/03/2026,,08/04/2026,,San Martin de Porres,3C,INSYS,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,19
260310036,Lote 3A - EXP,E05 / IN_05,"3,020","27, 28, 30, 31",V1,CIC-17,02/04/2026,,07/04/2026,,16/04/2026,,Independencia,3A,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,22
260310037,Lote 3B - EXP,E05 / CO_04,"3,042","57, 58",V1,CIC-18,02/04/2026,,07/04/2026,,16/04/2026,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,23
260310038,Lote 3C - Insys,E02 / SP_01,"3,090",59,V2,CIC-25,30/04/2026,,05/05/2026,,14/05/2026,,San Martin de Porres,3C,INSYS,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,32
