id,tipo,n_cic,distrito,fecha,observac
15.0,CIC_Difusion,3.0,Independencia,07/01/26,
16.0,CIC_Difusion,2.0,Chorrillos,07/01/26,
17.0,CIC_Difusion,1.0,San Miguel,07/01/26,
18.0,CIC_INICIO,1.0,San Miguel,08/01/26,
19.0,CIC_INICIO,2.0,Chorrillos,08/01/26,
20.0,CIC_INICIO,3.0,Independencia,08/01/26,
24.0,CIC_CIERRE,1.0,San Miguel,17/01/26,Informo hora de termino del CIC
25.0,CIC_CIERRE,2.0,Chorrillos,17/01/26,Informo hora de termino del CIC
26.0,CIC_CIERRE,3.0,Independencia,17/01/26,Informo hora de termino del CIC
39.0,CIC_Difusion,4.0,El Agustino,23/02/26,
80.0,CIC_Difusion,14.0,San Martin de Porres,29/03/26,Se solicito a INSYS Cronograma y actividades-SIN RESPUESTA
85.0,CIC_Difusion,2.0,Lima,31/03/26,6 Poligonos
86.0,CIC_INICIO,2.0,Lima,01/04/26,6 Poligonos
108.0,CIC_CIERRE,2.0,Lima,10/04/26,6 Poligonos
113.0,CIC_INICIO,20.0,San Miguel,16/04/26,
228.0,CIC_Difusion,43.0,San Juan de Miraflores,25/06/26,Punto de Encuentro : Oficina Tecnica
